mssv,nam_vao_hoc,chuyen_nganh_chon_ma,chuyen_nganh_chon_ten,danh_sach_mon_da_hoc,diem_tung_mon,trang_thai_dat_chua_dat,so_tin_chi_da_tich_luy,hoc_ky_hien_tai,muc_tieu_hoc_tap
SV0001,2023,CNPM,Cong nghe phan mem,"[""INS326"",""POL307"",""POL308"",""POL309"",""POL310"",""SOT301"",""SOT315"",""SOT320"",""INS330"",""MAT327"",""SOT332""]","{""INS326"":7.8,""POL307"":8.0,""POL308"":7.4,""POL309"":7.0,""POL310"":8.1,""SOT301"":7.2,""SOT315"":8.4,""SOT320"":6.8,""INS330"":4.2,""MAT327"":3.9,""SOT332"":4.7}","{""INS326"":""dat"",""POL307"":""dat"",""POL308"":""dat"",""POL309"":""dat"",""POL310"":""dat"",""SOT301"":""dat"",""SOT315"":""dat"",""SOT320"":""dat"",""INS330"":""chua_dat"",""MAT327"":""chua_dat"",""SOT332"":""chua_dat""}",21,2,giam_tai
SV0002,2021,CNPM,Cong nghe phan mem,"[""INS326"",""INS330"",""MAT322"",""MAT327"",""MAT328"",""NEC321"",""NEC329"",""PHY310"",""POL307"",""POL308"",""POL309"",""POL310"",""POL333"",""SOT301"",""SOT315"",""SOT320"",""SOT331"",""SOT332"",""SOT347"",""SOT355"",""SOT375"",""SOT380"",""SOT381"",""SSH313"",""SSH378"",""SSH379"",""85065""]","{""INS326"":7.5,""INS330"":8.1,""MAT322"":6.9,""MAT327"":7.0,""MAT328"":6.8,""NEC321"":7.3,""NEC329"":7.0,""PHY310"":6.5,""POL307"":8.2,""POL308"":7.8,""POL309"":7.4,""POL310"":8.0,""POL333"":7.1,""SOT301"":7.6,""SOT315"":8.0,""SOT320"":7.2,""SOT331"":6.8,""SOT332"":7.0,""SOT347"":8.3,""SOT355"":8.4,""SOT375"":7.7,""SOT380"":8.1,""SOT381"":7.5,""SSH313"":8.6,""SSH378"":8.0,""SSH379"":7.9,""85065"":8.5}","{""INS326"":""dat"",""INS330"":""dat"",""MAT322"":""dat"",""MAT327"":""dat"",""MAT328"":""dat"",""NEC321"":""dat"",""NEC329"":""dat"",""PHY310"":""dat"",""POL307"":""dat"",""POL308"":""dat"",""POL309"":""dat"",""POL310"":""dat"",""POL333"":""dat"",""SOT301"":""dat"",""SOT315"":""dat"",""SOT320"":""dat"",""SOT331"":""dat"",""SOT332"":""dat"",""SOT347"":""dat"",""SOT355"":""dat"",""SOT375"":""dat"",""SOT380"":""dat"",""SOT381"":""dat"",""SSH313"":""dat"",""SSH378"":""dat"",""SSH379"":""dat"",""85065"":""dat""}",81,6,dung_han
SV0005,2024,HTTT,He thong thong tin,"[""INS325"",""INS326"",""INS330"",""INS339"",""MAT322"",""MAT327"",""MAT328"",""NEC321"",""PHY310"",""PHY311"",""POL310"",""SOT301"",""SOT315"",""SOT320"",""SOT331"",""SOT336"",""SOT347"",""SOT375"",""SOT381""]","{""INS325"":7.1,""INS326"":7.4,""INS330"":8.0,""INS339"":7.8,""MAT322"":6.7,""MAT327"":6.9,""MAT328"":6.5,""NEC321"":7.0,""PHY310"":6.4,""PHY311"":6.8,""POL310"":8.2,""SOT301"":7.5,""SOT315"":7.9,""SOT320"":6.8,""SOT331"":6.7,""SOT336"":7.6,""SOT347"":8.1,""SOT375"":7.4,""SOT381"":7.8}","{""INS325"":""dat"",""INS326"":""dat"",""INS330"":""dat"",""INS339"":""dat"",""MAT322"":""dat"",""MAT327"":""dat"",""MAT328"":""dat"",""NEC321"":""dat"",""PHY310"":""dat"",""PHY311"":""dat"",""POL310"":""dat"",""SOT301"":""dat"",""SOT315"":""dat"",""SOT320"":""dat"",""SOT331"":""dat"",""SOT336"":""dat"",""SOT347"":""dat"",""SOT375"":""dat"",""SOT381"":""dat""}",57,4,hoc_vuot
SV0006,2022,TTMMT,Truyen thong va Mang may tinh,"[""MAT322"",""MAT327"",""MAT328"",""PHY310"",""PHY311"",""NEC321"",""NEC326"",""NEC329"",""INS325"",""INS326"",""SOT301"",""SOT315"",""SOT320"",""POL310"",""SOT331""]","{""MAT322"":7.0,""MAT327"":6.8,""MAT328"":6.5,""PHY310"":6.9,""PHY311"":7.1,""NEC321"":7.5,""NEC326"":7.8,""NEC329"":7.0,""INS325"":7.2,""INS326"":7.4,""SOT301"":7.6,""SOT315"":7.3,""SOT320"":6.9,""POL310"":8.0,""SOT331"":7.1}","{""MAT322"":""dat"",""MAT327"":""dat"",""MAT328"":""dat"",""PHY310"":""dat"",""PHY311"":""dat"",""NEC321"":""dat"",""NEC326"":""dat"",""NEC329"":""dat"",""INS325"":""dat"",""INS326"":""dat"",""SOT301"":""dat"",""SOT315"":""dat"",""SOT320"":""dat"",""POL310"":""dat"",""SOT331"":""dat""}",45,5,dung_han
SV0007,2025,CNPM,Cong nghe phan mem,"[""SOT381"",""SSH313"",""FLS314"",""POL307"",""85065""]","{""SOT381"":7.9,""SSH313"":8.1,""FLS314"":7.5,""POL307"":6.8,""85065"":8.7}","{""SOT381"":""dat"",""SSH313"":""dat"",""FLS314"":""dat"",""POL307"":""dat"",""85065"":""dat""}",12,1,hoc_vuot
SV0008,2023,HTTT,He thong thong tin,"[""SOT381"",""SSH313"",""FLS314"",""POL307"",""MAT322"",""SOT301"",""SSH378"",""FLS315"",""INS325"",""INS326"",""INS330""]","{""SOT381"":7.2,""SSH313"":8.0,""FLS314"":7.1,""POL307"":6.6,""MAT322"":5.9,""SOT301"":7.4,""SSH378"":7.8,""FLS315"":7.0,""INS325"":6.9,""INS326"":7.3,""INS330"":4.8}","{""SOT381"":""dat"",""SSH313"":""dat"",""FLS314"":""dat"",""POL307"":""dat"",""MAT322"":""dat"",""SOT301"":""dat"",""SSH378"":""dat"",""FLS315"":""dat"",""INS325"":""dat"",""INS326"":""dat"",""INS330"":""chua_dat""}",28,3,dung_han
SV0009,2022,CNPM,Cong nghe phan mem,"[""SOT381"",""SSH313"",""FLS314"",""POL307"",""MAT322"",""SOT301"",""SSH378"",""FLS315"",""INS325"",""INS326"",""INS330"",""POL308"",""POL309"",""POL310"",""SOT315"",""SOT320""]","{""SOT381"":7.0,""SSH313"":8.3,""FLS314"":7.2,""POL307"":6.5,""MAT322"":6.0,""SOT301"":7.1,""SSH378"":7.7,""FLS315"":7.3,""INS325"":6.8,""INS326"":7.0,""INS330"":5.1,""POL308"":7.0,""POL309"":6.9,""POL310"":7.8,""SOT315"":7.4,""SOT320"":4.3}","{""SOT381"":""dat"",""SSH313"":""dat"",""FLS314"":""dat"",""POL307"":""dat"",""MAT322"":""dat"",""SOT301"":""dat"",""SSH378"":""dat"",""FLS315"":""dat"",""INS325"":""dat"",""INS326"":""dat"",""INS330"":""dat"",""POL308"":""dat"",""POL309"":""dat"",""POL310"":""dat"",""SOT315"":""dat"",""SOT320"":""chua_dat""}",42,5,giam_tai
SV0010,2024,TTMMT,Truyen thong va Mang may tinh,"[""SOT381"",""SSH313"",""FLS314"",""POL307"",""MAT322"",""SOT301"",""SSH378"",""FLS315"",""MAT327"",""MAT328"",""PHY310"",""NEC321"",""NEC329""]","{""SOT381"":7.6,""SSH313"":8.0,""FLS314"":7.4,""POL307"":6.7,""MAT322"":6.3,""SOT301"":7.5,""SSH378"":7.6,""FLS315"":7.2,""MAT327"":6.1,""MAT328"":6.0,""PHY310"":6.8,""NEC321"":7.1,""NEC329"":7.0}","{""SOT381"":""dat"",""SSH313"":""dat"",""FLS314"":""dat"",""POL307"":""dat"",""MAT322"":""dat"",""SOT301"":""dat"",""SSH378"":""dat"",""FLS315"":""dat"",""MAT327"":""dat"",""MAT328"":""dat"",""PHY310"":""dat"",""NEC321"":""dat"",""NEC329"":""dat""}",33,4,hoc_vuot
SV0011,2021,HTTT,He thong thong tin,"[""SOT381"",""SSH313"",""FLS314"",""POL307"",""MAT322"",""SOT301"",""SSH378"",""FLS315"",""INS325"",""INS326"",""INS330"",""MAT327"",""MAT328"",""NEC321"",""NEC329"",""PHY310"",""PHY311"",""POL308"",""POL309"",""POL310"",""SOT315"",""SOT320"",""SOT331"",""INS339""]","{""SOT381"":7.8,""SSH313"":8.2,""FLS314"":7.4,""POL307"":6.9,""MAT322"":6.6,""SOT301"":7.5,""SSH378"":7.9,""FLS315"":7.6,""INS325"":7.3,""INS326"":7.7,""INS330"":8.1,""MAT327"":6.8,""MAT328"":6.7,""NEC321"":7.2,""NEC329"":7.1,""PHY310"":6.9,""PHY311"":7.0,""POL308"":7.1,""POL309"":7.0,""POL310"":8.0,""SOT315"":7.6,""SOT320"":7.1,""SOT331"":7.0,""INS339"":7.9}","{""SOT381"":""dat"",""SSH313"":""dat"",""FLS314"":""dat"",""POL307"":""dat"",""MAT322"":""dat"",""SOT301"":""dat"",""SSH378"":""dat"",""FLS315"":""dat"",""INS325"":""dat"",""INS326"":""dat"",""INS330"":""dat"",""MAT327"":""dat"",""MAT328"":""dat"",""NEC321"":""dat"",""NEC329"":""dat"",""PHY310"":""dat"",""PHY311"":""dat"",""POL308"":""dat"",""POL309"":""dat"",""POL310"":""dat"",""SOT315"":""dat"",""SOT320"":""dat"",""SOT331"":""dat"",""INS339"":""dat""}",72,7,dung_han
SV0012,2023,CNPM,Cong nghe phan mem,"[""SOT381"",""SSH313"",""FLS314"",""POL307"",""MAT322"",""SOT301"",""SSH378"",""FLS315"",""INS325"",""INS326"",""INS330"",""SOT315"",""SOT320"",""SOT331""]","{""SOT381"":7.4,""SSH313"":8.1,""FLS314"":7.3,""POL307"":6.7,""MAT322"":6.1,""SOT301"":7.2,""SSH378"":7.7,""FLS315"":7.2,""INS325"":7.0,""INS326"":7.5,""INS330"":7.8,""SOT315"":7.6,""SOT320"":6.9,""SOT331"":6.8}","{""SOT381"":""dat"",""SSH313"":""dat"",""FLS314"":""dat"",""POL307"":""dat"",""MAT322"":""dat"",""SOT301"":""dat"",""SSH378"":""dat"",""FLS315"":""dat"",""INS325"":""dat"",""INS326"":""dat"",""INS330"":""dat"",""SOT315"":""dat"",""SOT320"":""dat"",""SOT331"":""dat""}",36,4,hoc_vuot
